Which planet is known as the Red Planet?|Venus|Mars|Jupiter|Saturn|1
What is the chemical symbol for gold?|Gd|Ag|Au|Fe|2
Which ocean is the largest on Earth?|Atlantic|Indian|Arctic|Pacific|3
In which year did the Titanic sink?|1905|1912|1920|1935|1
What is the capital city of Japan?|Seoul|Beijing|Tokyo|Bangkok|2
Which element has the atomic number 1?|Helium|Oxygen|Carbon|Hydrogen|3
What is the currency used in Brazil?|Peso|Real|Bolivar|Sol|1
Who painted the "Mona Lisa"?|Michelangelo|Van Gogh|Leonardo da Vinci|Picasso|2
Which organ in the human body is responsible for pumping blood?|Lungs|Brain|Liver|Heart|3
What is the longest river in the world?|Amazon|Nile|Yangtze|Mississippi|1
Which country is home to the Kangaroo?|South Africa|Australia|India|Brazil|1
What is the boiling point of water in Celsius?|90|100|110|120|1
How many continents are there on Earth?|5|6|7|8|2
Which gas do plants absorb from the atmosphere?|Oxygen|Nitrogen|Carbon Dioxide|Hydrogen|2
What is the largest land animal?|Hippopotamus|White Rhino|African Elephant|Giraffe|2
